Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
,-,,Songs,1,1,exec,current.1,,,,,song fader 1,,,,
,-,,Songs,1,2,exec,current.2,,,,,song fader 2,,,,
,-,,Songs,1,3,exec,current.3,,,,,song fader 3,,,,
,-,,Songs,1,4,exec,current.4,,,,,song fader 4,,,,
,-,,Songs,1,5,exec,current.5,,,,,song fader 5,,,,
,-,,Songs,1,6,exec,current.6,,,,,song fader 6,,,,
,-,,Songs,1,7,exec,current.7,,,,,song fader 7,,,,
,-,,Songs,1,8,exec,current.8,,,,,song fader 8,,,,
,-,,Songs,1,9,exec,current.9,,,,,song fader 9,,,,
,-,,Songs,1,10,exec,current.10,,,,,song fader 10,,,,
,-,,Songs,1,11,exec,current.101,,,,,song exec 1 / main,,,,
,-,,Songs,1,12,exec,current.102,,,,,song exec 2,,,,
,-,,Songs,1,13,exec,current.103,,,,,song exec 3,,,,
,-,,Songs,1,14,exec,current.104,,,,,song exec 4,,,,
,-,,Songs,1,15,exec,current.105,,,,,song exec 5,,,,
,-,,Songs,1,16,exec,current.106,,,,,song exec 6,,,,
,-,,Songs,1,17,exec,current.107,,,,,song exec 7,,,,
,-,,Songs,1,18,exec,current.108,,,,,song exec 8,,,,
,-,,Songs,1,19,exec,current.109,,,,,song exec 9,,,,
,-,,Songs,1,20,exec,current.110,,,,,song exec 10,,,,
1,65,,Songs,1,24,page,15,,,Song Exec,,UponReq Main,Upon Request,,,
1,72,,Songs,1,25,page,16,,,Song Exec,,Echoes Main,Echoes,,,
1,79,,Songs,1,26,page,17,,,Song Exec,,Burning Main,Burning,,,
1,88,,Songs,1,27,page,18,,,Song Exec,,Incompetence Main,Incompetence,,,
1,95,,Songs,1,28,page,19,,,Song Exec,,Wrong Way Main,Wrong Way,,,
1,105,,Songs,1,30,page,21,,,Song Exec,,Enemy No1 Main,Enemy No1,,,
1,120,,Songs,1,31,page,22,,,Song Exec,,Warp Main,Warp Cue,,,
2,0,,Songs,1,32,page,23,,,Song Exec,,Fake Main,Fake Cue,,,
1,111,,Songs,1,33,page,24,,,Song Exec,,CMP Main,CMP,,,
1,118,,Songs,1,34,page,25,,,Song Exec,,Exhale Main,Exhale Cue,,,
